ORIGSYSREF,ORDERNUMBER,COUNTRY,BOOKINGDATE,ORDERTYPE,KEYCODE,SALESCHANNEL,SOURCE,MEDIUM,CAMPAIGN,DEVICE,TOPLEVELCATEGORY,ORDERS,REVENUE_NET_LCL,REVENUE_NET_USD,REVENUE_NET_USD_CONS_CURR,FTBS,FTB_REVENUE_NET_LCL,FTB_REVENUE_NET_USD,FTB_REVENUE_NET_USD_CONS_CURR,PRODUCT_REVENUE_LCL,PRODUCT_REVENUE_USD_CONS_CURR,PRODUCTS,QUANTITY,DISCOUNT_LCL,DISCOUNT_USD_CONS_CURR,DISCOUNTED_ORDER,ITEMCOST_LCL,ITEMCOST_USD,ITEMCOST_USD_CONS_CURR,GROSS_MARGIN_LCL,GROSS_MARGIN_USD,RN,CHANNEL_L1,BBSTATUS
ONNM6NB-05N49-1O6,55343147,GB,20/10/25,GB_ABC_WEB_MAIL,,MO,,,,,,1,203.99,254.9875,271.3067,0,0,0,0,183.9909795,244.7080028,0.99995898,99.99508204,0,0,,76.6562414,76.65624191,101.9528011,127.33,178.3275,1,MO,INITIAL
Z14629357TFRNFD2639825,20143027,FR,31/08/18,WBFR_WEB ORDER,TFRNFD,WB,,,,,web,1,274.99,320.2937,310.7387,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,No-Match,INITIAL
ONZL4GC-23L05-2R0,52171419,DE,15/11/24,DE_ABC_WEB_MAIL,,MO,,,,,,-1,-295.99,-316.7093,-334.4687,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,MO,UPDATE
ONXQ2GP-74Q96-4J2,51339917,US,17/06/24,TM MB,,TM,,,,,,1,196.4,196.4,196.4,0,0,0,0,119.743878,119.743878,1.0020328,50.1020328,0,0,,52.68730688,52.68730688,52.68730688,143.82,143.82,1,TM,INITIAL
ONDQ2SH-51E34-8T6,49909911,FR,12/10/23,FR_MO UPSELL TUNIS,,MO,,,,,,1,123.24,131.8668,139.2612,0,0,0,0,103.4514629,116.9001531,1.0019412,75.14632944,0,0,,559.6097954,23.98577181,632.3590687,-435.28,107.8568,1,MO,INITIAL
ONQM9XJ-80C57-4R4,50462588,IT,15/01/24,IT_TA TUNIS,,TM,,,,,,1,199.09,213.0263,224.9717,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,TM,INITIAL
42434710302,42434710302,US,19/11/19,TMT Inbound WB-NPC,NPC NA,WB,,,,,inbound,1,57.49,57.49,57.49,1,57.49,57.49,57.49,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONVP3RS-16C92-6I0,49387984,DE,04/08/23,WBDE_ABC WEB ORDER,,WB,google,cpc,nb-de-de-writing-pens,mobile,web,1,104.99,112.3393,118.6387,0,0,0,0,84.99190481,96.04085244,0.99992476,49.9951881,0,0,,202.1607448,8.726356179,228.4416416,-97.19,103.6393,1,Paid Search - NonBrand,INITIAL
ONSM9TL-58W68-3Y9,47412321,US,05/12/22,WEB-EMAIL,1PXA01,WB,email,poc,120522_1px_ppg,desktop,email,1,308.9,308.9,308.9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONJB6ZF-89F83-1J5,54953583,GB,24/09/25,WBGB_ABC WEB ORDER,,WB,google,cpc,nb-uk-en-writing-pens,desktop,web,-1,-114.14,-142.675,-151.8062,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Paid Search - NonBrand,UPDATE
ONFL1XM-74G13-4H6,50732481,US,08/03/24,TMT Inbound MO-NPC MB,,MO,,,,,,1,149.94,149.94,149.94,0,0,0,0,103.9583995,103.9583995,0.99964998,99.96004998,0,0,,18.172728,18.172728,18.172728,131.76,131.76,1,MO,INITIAL
5492798683,5492798683,US,31/03/21,TMT Inbound WB-NPC MB,NPC NA,WB,,,,,inbound,1,223.49,223.49,223.49,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
43271692147,43271692147,US,21/07/21,WB-CATALOG,NPC NA,WB,google,cpc,shopping-smart-in-house-pens-high-margin,desktop,web,1,116.94,116.94,116.94,1,116.94,116.94,116.94,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,INITIAL
5541088810,5541088810,US,19/10/21,TMT Inbound WB-NPC MB,NPC NA,WB,,,,,inbound,1,198.94,198.94,198.94,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONPD0TP-18J83-7T9,51704453,US,11/09/24,TMT TUNIS,,TM,,,,,,1,265.3,265.3,265.3,0,0,0,0,209.6370568,209.6370568,1.0012422,210.2377809,0,0,,52.79970621,52.79970621,52.79970621,212.56,212.56,1,TM,INITIAL
42969606554,42969606554,US,31/03/21,WB-CATALOG MB,NPC NA,WB,affiliate,21181,affiliate_generic,desktop,web,1,130,130,130,1,130,130,130,0,0,0,0,0,0,,0,0,0,0,0,1,Affiliate,INITIAL
ONNB0AV-00S29-9N9,49224916,US,20/07/23,TMT Inbound MO-NPC MB,,MO,,,,,,1,190.94,190.94,190.94,1,190.94,190.94,190.94,137.9566494,137.9566494,0.99976184,199.9370928,0,0,,52.12362033,52.12362033,52.12362033,138.8,138.8,1,MO,INITIAL
ONHC1TY-04K75-3Y0,53009745,CA,20/04/25,WB-CATALOG-PPC,,WB,bing,cpc,brand-ca-t1-pure,desktop,web,1,267.95,196.1394,192.924,0,0,0,0,204.9617529,147.5724621,0.99972145,249.9534062,0,0,,26.49505677,26.51884713,19.07644087,241.45,169.6394,1,Paid Search - Brand,INITIAL
41183363109,41183363109,CA,06/06/19,WB-CATALOG-PPC,7FPA02,WB,email,webpush,ppc_060619_5an_ballpoint,desktop,email,1,237.45,177.114,170.964,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email Web Push,INITIAL
42237062022,42237062022,US,09/08/19,WB-CATALOG,NPC NA,WB,google,cpc,**shopping - pens in-house*,desktop,web,1,51.99,51.99,51.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - Shopping,INITIAL
ONIQ1YZ-19T18-9R8,55670287,IT,08/11/25,IT_ABC_WEB_MAIL,,MO,,,,,,1,342.99,366.9993,387.5787,0,0,0,0,317.990728,359.3295226,0.99981585,199.9940391,0,0,,80.48765231,80.48984608,90.95104711,262.5,286.5093,1,MO,INITIAL
ONHR8OL-90J16-8Y9,57149002,US,06/02/26,WB-CATALOG,,WB,google,cpc,shopping-pens,desktop,web,-1,-310.25,-310.25,-310.25,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Paid Search - Shopping,UPDATE
41813354221,41813354221,US,17/12/18,WEB-EMAIL,4TFA01,WB,,,,,email,1,114.24,114.24,114.24,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONGS0YC-12E54-1Q5,52930561,IT,09/04/25,IT_KAM TUNIS,,TM,,,,,,1,591.99,633.4293,668.9487,0,0,0,0,566.9904221,640.699177,0.99987111,299.9950764,0,0,,3118.137329,134.1909457,3523.495182,-2526.2,499.3293,1,TM,INITIAL
ONVF1MS-59H26-1N4,56670963,US,08/01/26,WB-CATALOG,,WB,(direct),(none),(not set),desktop,web,1,818.19,818.19,818.19,0,0,0,0,620.1440096,620.1440096,0.99982818,500.1161829,0,0,,103.9241292,103.9241292,103.9241292,714.29,714.29,1,Direct,INITIAL
ONDV5GL-56H77-1R9,50551009,US,31/01/24,PCT - WEB,,MO,,,,,,1,301.9,301.9,301.9,0,0,0,0,244.9188747,244.9188747,0.9995909,499.8343951,0,0,,118.6606961,118.6606961,118.6606961,183.2,183.2,1,MO,INITIAL
ONXP5VT-46B41-7M7,49009061,US,21/06/23,NPC WB RECOVERY TUNIS,,WB,,,,,web,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Recovery,INITIAL
ONRT3OH-86N51-7X7,50254007,IT,28/11/23,IT_MO PHONE,,MO,,,,,,1,176.99,189.3793,199.9987,0,0,0,0,156.99113,177.3999769,0.9999935,99.99439428,0,0,,716.4395201,30.87183135,809.5766577,-539.49,158.5693,1,MO,INITIAL
ONEP3LO-88W55-5A1,55728967,US,17/11/25,TMT TUNIS,,TM,,,,,,-1,-260.79,-260.79,-260.79,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,TM,UPDATE
13939810,54282020,US,08/08/25,TMT Inbound WB-NPC MB,,WB,,,,,inbound,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONHE6ZE-90H01-6B5,50094106,US,06/11/23,WB-CATALOG,,WB,(direct),(none),(not set),desktop,web,1,164.94,164.94,164.94,0,0,0,0,118.9567271,118.9567271,0.99970134,99.96370134,0,0,,18.30334232,18.30334232,18.30334232,146.63,146.63,1,Direct,INITIAL
41510519066,41510519066,US,03/07/18,WEB-EMAIL,NPC NA,WB,,,,,web,-1,-100.75,-100.75,-100.75,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,UPDATE
42698789840,42698789840,US,13/07/20,WB-CATALOG,NPC NA,WB,google,cpc,nb - writing - pens pure - exact,desktop,web,1,390,390,390,1,390,390,390,0,0,0,0,0,0,,0,0,0,0,0,1,Paid Search - NonBrand,INITIAL
ONSI2YJ-70Q30-0R0,51912869,CA,15/10/24,TM-PPC TUNIS,,TM,,,,,,1,274.9,201.2268,197.928,1,274.9,201.2268,197.928,98.964,71.25408,0.9995364,99.9635364,0,0,,33.61777116,33.66794612,24.20479523,241.27,167.5968,1,TM,INITIAL
ONUY4DZ-29E10-5B2,44360920,DE,08/04/22,WBDE_ABC WEB ORDER,TDEMQM,WB,,,,,web,1,97.24,105.97,109.8812,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,No-Match,INITIAL
ONMQ1TL-84I12-9B0,50228074,DE,24/11/23,DE_MO PHONE TUNIS,,MO,,,,,,1,659.99,706.1893,745.7887,0,0,0,0,644.9902291,728.8389589,0.99988485,499.9925842,0,0,,3467.497464,149.139977,3918.272134,-2807.56,557.0893,1,MO,INITIAL
ONYA6UD-29V09-0V3,46235358,US,19/08/22,WEB-EMAIL,1LXA01,WB,email,poc,081922_1lx_prp_remail,desktop,email,1,189.34,189.34,189.34,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONTT1FS-77Z68-2R2,55878434,FR,19/11/25,WBFR_ABC WEB ORDER,,WB,google,cpc,shopping-fr-fr-writing-pens-best-sellers,mobile,web,1,153.99,164.7693,174.0087,0,0,0,0,133.9912987,151.4101675,1.00001106,119.9922418,0,0,,26.46828165,26.43298973,29.90915826,127.52,138.2993,1,Paid Search - Shopping,INITIAL
ONAA4LJ-20E39-4H9,49886277,DE,10/10/23,DE_ABC_WEB_MAIL,,MO,,,,,,1,130.43,139.5601,147.3859,0,0,0,0,100.772224,113.8726131,1.00326756,36.11906689,0,0,,388.9322273,16.61762068,439.4934169,-257.22,122.8901,1,MO,INITIAL
ONTT8FZ-01I57-2Q7,54433300,US,14/08/25,WB-CATALOG,,WB,google,cpc,nb-writing-pens,desktop,web,1,223.14,223.14,223.14,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Paid Search - NonBrand,INITIAL
ONZQ9CH-69Q21-6S1,56983639,US,27/01/26,WB-CATALOG,,WB,google,cpc,nb-competitor,desktop,web,-1,-211.2,-211.2,-211.2,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Paid Search - NonBrand,UPDATE
C16591673TGBLPG2812111,20819803,GB,22/11/18,GB_COE-WEB-EMAIL,TGBLPG,WB,,,,,email,1,103.99,132.9254,138.3067,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email POC,INITIAL
ONQL0VE-12A13-1Y5,52014823,NL,23/10/24,NL_ABC_WEB_MAIL,,MO,,,,,,1,198.99,212.9193,224.8587,0,0,0,0,178.9910055,202.2598363,0.99992475,99.99506187,0,0,,915.4939934,39.36508016,1034.508213,-716.55,173.5393,1,MO,INITIAL
ONHG9CC-74X35-4M6,58795908,DE,12/05/26,DE_WEB INBOUND,,WB,,,,,inbound,1,330.99,354.1593,374.0187,0,0,0,0,270.9918134,306.2207492,1.99984158,199.9940877,0,0,,44.75864902,44.78014272,50.5772734,286.23,309.3993,1,Web Inbound,INITIAL
ONMP3OB-07J46-6O0,55518147,DE,30/10/25,DE_TA TUNIS,,TM,,,,,,1,368.49,394.2843,416.3937,0,0,0,0,308.9107754,349.0691762,2.00274315,350.4660486,23.030625,26.02460625,55518147,96.18790646,104.3552454,108.6923343,272.43,290.0043,1,TM,INITIAL
ONGJ3PW-83V87-2U9,47856684,US,06/03/23,WB-CATALOG,,WB,google,organic,(not set),desktop,web,1,140.44,140.44,140.44,1,140.44,140.44,140.44,0,0,0,0,0,0,,0,0,0,0,0,1,Organic Search,INITIAL
ONKD2PG-11G20-0B9,52752117,FR,12/03/25,FR_TA TUNIS,,TM,,,,,,1,134.49,143.9043,151.9737,0,0,0,0,109.9004106,124.1874639,1.00369887,50.18279166,0,0,,1170.504609,50.11667131,1322.670208,-1031.75,93.7543,1,TM,INITIAL
ONGO6DR-36F63-7B4,52358109,FR,07/01/25,WBFR_ABC WEB ORDER,,WB,google,cpc,brand-fr-fr-search-np,desktop,web,-1,-437.24,-467.8468,-494.0812,0,0,0,0,-408.5408475,-461.6511577,-0.67509856,-506.4555292,0,0,,-1854.944274,-128.4519613,-2096.087029,-5931.14,-848.3868,1,Paid Search - Brand,UPDATE
ONTX5LA-51H56-9E9,55054295,US,02/10/25,PCT - WEB,,MO,,,,,,1,208.82,208.82,208.82,0,0,0,0,122.3944972,122.3944972,0.9992037,49.95684388,0,0,,41.764,41.764,41.764,167.02,167.02,1,MO,INITIAL
OE_ORDER_HEADERS_ALL28043579,26822574,ES,05/02/21,ES_WEB INBOUND,REDOES,WB,,,,,inbound,1,32.78,39.2482,37.0414,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONNR5DI-73U50-8A1,52417198,DE,11/01/25,DE_ABC_WEB_MAIL,,MO,,,,,,1,133.99,143.3693,151.4087,0,0,0,0,113.9914927,128.8103868,0.99996737,99.99244932,0,0,,859.3758622,37.05545007,971.0947243,-725.45,106.4093,1,MO,INITIAL
