ORIGSYSREF,BBSTATUS,FTBIND,ORDERDATE,COUNTRYCODE,ORDERS,REVENUE_NET_USD_CONS_CURR,SALESCHANNEL,TP_DATE,TX_DEVICE,CHANNELS,SOURCE,MEDIUM,CAMPAIGN,COEFFICIENTS,TP_WEIGHT,WEIGHTED_COEFFICIENTS,Total_coeff,Normalized_coeff,Normalized_Revenue
ONPZ7AA-44N31-0P1,INITIAL,0,24/04/25,DE,1,173.4437,MO,22/04/25,non-digital,Direct,(direct),(none),(not set),0.076207097,1.00E-05,7.62E-07,0.138453351,5.50E-06,0.000954664
ONZE1RK-42K27-2R5,INITIAL,0,25/06/25,DE,1,220.2596,WB,25/06/25,desktop,Paid Search - Brand,google,cpc,Brand-DE-DE-SEARCH-NP,0.117729176,1,0.117729176,0.117729176,1,220.2596
ONCV2FJ-50C86-9C4,INITIAL,0,23/01/26,US,1,153.51,MO,16/01/26,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1,0.024520731,0.024520731,1,153.51
ONCV2FJ-50C86-9C4,INITIAL,0,23/01/26,US,1,153.51,MO,22/01/26,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,0.024520731,1.00E-10,1.54E-08
ONJP4TM-52Q72-4K7,INITIAL,0,18/03/26,US,1,237.7,WB,13/03/26,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,0.008024967,3.06E-10,7.26E-08
ONJP4TM-52Q72-4K7,INITIAL,0,18/03/26,US,1,237.7,WB,17/03/26,desktop,Social Media,facebook,padi_social,US-EN-manual-pens-MOintegratedcampaign-meta,0.008024967,1,0.008024967,0.008024967,1,237.6999999
ONTK5NK-39Z52-5U6,INITIAL,0,18/11/25,DE,1,281.37,WB,18/11/25,desktop,Paid Search - Brand,google,cpc,Brand-DE-DE-SEARCH-NP,0.117729176,1,0.117729176,0.117729176,1,281.37
ONAG7WL-79S97-3B5,INITIAL,0,22/04/25,DE,1,179.6587,WB,18/04/25,desktop,Paid Search - NonBrand,google,cpc,NB-DE-DE-Writing-Pens,0.073522569,1,0.073522569,0.073525617,0.999958546,179.6512524
ONAG7WL-79S97-3B5,INITIAL,0,22/04/25,DE,1,179.6587,WB,22/04/25,desktop,Direct,(direct),(none),(not set),0.304792927,1.00E-05,3.05E-06,0.073525617,4.15E-05,0.007447568
ONIX0YJ-82E14-4Y1,INITIAL,0,11/02/26,US,1,526.74,WB,23/01/26,desktop,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.016495765,1.00E-10,1.65E-12,0.060187249,2.74E-11,1.44E-08
ONIX0YJ-82E14-4Y1,INITIAL,0,11/02/26,US,1,526.74,WB,11/02/26,desktop,Paid Search - NonBrand,google,cpc,NB-Competitor,0.060187249,1,0.060187249,0.060187249,1,526.74
ONHU7IQ-44P67-4I4,INITIAL,0,23/07/25,US,1,139.94,MO,04/07/25,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,0.024520731,1.00E-10,1.40E-08
ONHU7IQ-44P67-4I4,INITIAL,0,23/07/25,US,1,139.94,MO,04/07/25,desktop,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.016495765,1.00E-10,1.65E-12,0.024520731,6.73E-11,9.41E-09
ONHU7IQ-44P67-4I4,INITIAL,0,23/07/25,US,1,139.94,MO,11/07/25,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1,0.024520731,0.024520731,1,139.94
ONHU7IQ-44P67-4I4,INITIAL,0,23/07/25,US,1,139.94,MO,11/07/25,desktop,MO_Returning Non-Sampled,mo_returning non-sampled,mo_returning non-sampled,mo_returning non-sampled,0.016495765,1.00E-10,1.65E-12,0.024520731,6.73E-11,9.41E-09
ONHU7IQ-44P67-4I4,INITIAL,0,23/07/25,US,1,139.94,MO,23/07/25,desktop,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.024520731,1.00E-10,2.45E-12,0.024520731,1.00E-10,1.40E-08
ONLY1TJ-34C07-0N6,INITIAL,0,20/04/26,US,1,0,TM,20/04/26,non-digital,TM_CRM,tm_crm,tm_crm,tm_crm,0.134597156,1,0.134597156,0.134597156,1,0
ONWB8GL-71B20-6B7,INITIAL,0,20/04/26,US,1,0,TM,20/04/26,non-digital,TM_CRM,tm_crm,tm_crm,tm_crm,0.134597156,1,0.134597156,0.134597156,1,0
ONUA8CT-61O78-8N8,INITIAL,0,22/09/25,CA,1,326.808,MO,19/09/25,non-digital,MO_Returning Sampled,mo_returning sampled,mo_returning sampled,mo_returning sampled,0.078291815,1.00E-10,7.83E-12,7.83E-12,1,326.808
ONEU3NF-63M87-7G2,INITIAL,0,02/04/26,US,1,457.39,WB,02/04/26,non-digital,WEB INBOUND,web_inbound,web_inbound,web_inbound,0.077251185,1,0.077251185,0.077251185,1,457.39
ONYW3KP-73V66-9V7,INITIAL,0,29/09/25,GB,1,222.0967,WB,29/09/25,non-digital,WEB INBOUND,web_inbound,web_inbound,web_inbound,0.144902635,1,0.144902635,0.349942726,0.414075286,91.96475466
ONYW3KP-73V66-9V7,INITIAL,0,29/09/25,GB,1,222.0967,WB,29/09/25,non-digital,TM_OTHERS,tm_others,tm_others,tm_others,0.205040092,1,0.205040092,0.349942726,0.585924714,130.1319453
ONCD5YU-24R10-4Q3,INITIAL,0,23/03/26,DE,1,745.2124,WB,19/03/26,non-digital,TM_OTHERS,tm_others,tm_others,tm_others,0.163467132,1,0.163467132,0.250727167,0.651972158,485.8577364
ONCD5YU-24R10-4Q3,INITIAL,0,23/03/26,DE,1,745.2124,WB,23/03/26,non-digital,WEB INBOUND,web_inbound,web_inbound,web_inbound,0.087260035,1,0.087260035,0.250727167,0.348027842,259.3546636
ONOQ5CK-49K18-7N8,INITIAL,0,07/10/25,US,1,267.07,WB,06/10/25,non-digital,TM_OTHERS,tm_others,tm_others,tm_others,0.213270142,1,0.213270142,0.290521327,0.734094617,196.0546493
